Opportunity Name,Research Initiative,Stage,Sub-Stage,Level 2 Government,Bridge Name,GPS (Latitude),GPS (Longitude),Level 1 Government,Level 3 Government,Level 4 Government,Individuals Directly Served,Bridge Type,Span (m),Ground Breaking Date,Close Date,CaseSafeID,Project Code,Randomized Order
Rwanda - Gasugi - 1007570,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Identified,,Nyaruguru,Gasugi,-2.69743,29.43339,Southern Province,Nyabimata,Ruhinga,5413,,,1/27/25,5/1/25,006f100000a86GkAAI,1007570,17
Rwanda - Ruyenzi - 1007582,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Identified,,Nyaruguru,Ruyenzi,-2.755722,29.454917,Southern Province,Ruheru-Nyabimata,Ruyenzi-Kabere(Ruyenzi-Uwigisura),4903,Suspended Bridge,88,12/5/25,3/13/25,006f100000a86GwAAI,1007582,15
Rwanda - Kintare - 1007593,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Identified,,Nyaruguru,Kintare,-2.633202,29.454371,Southern Province,Gahurizo-Cyanyirankora,Kintare-Gakuta,4382,Suspended Bridge,80,11/28/24,3/4/25,006f100000a86H7AAI,1007593,13
Rwanda - Mucyuzi - 1014006,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Identified,,Rubavu,Mucyuzi,-1.69435,29.30102,Western Province,Nyundo,Terimbere/rambura,857,Other,12,6/29/22,9/24/22,006f100000d1e0iAAA,1014006,7
Rwanda - Gihemvu - 1014150,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Identified,,Nyaruguru,Gihemvu,-2.70081,29.492137,Southern Province,Nyabimata_Muganza,Gihemvu-Muganza,3969,Suspended Bridge,94,1/9/24,3/29/25,006f100000d1hNQAAY,1014150,6
Rwanda - Kwarasita - 1012809,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Identified,,Muhanga,Kwarasita,-1.92495,29.78201,Southern Province,Kabacuzi sector,Between Butare cell(Buyoga village) and Ngoma Cell (Peru village ),2101,,180,2/15/25,5/15/25,006f100000d6kstAAA,1012809,16
Rwanda - Shyira - 1013628,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Identified,Requested,Gakenke,Shyira,-1.69922,29.63391,Northern Province,Mugunga - Shyira,Mugunga/rutenderi/nyundo,4596,,,,12/31/25,006f100000d7iQfAAI,1013628,17
Rwanda - Musange - 1013668,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Identified,,Gakenke,Musange,-1.61697,29.79172,Northern Province,Nemba,Mucaca/kiryamo,1610,Suspension Bridge,59,1/3/24,3/6/24,006f100000d7ib4AAA,1013668,15
Rwanda - Rwaninka - 1013736,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Identified,,Nyaruguru,Rwaninka,-2.733162,29.520608,Southern Province,Munini-Ruheru,Ntwali-Gite,3580,Suspended Bridge,108,12/5/24,3/20/25,006f100000d7jImAAI,1013736,11
Rwanda - Banga - 1012550,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Identified,Requested,Gakenke,Banga,-1.6897222,29.80888,Northern Province,Gakenke-Minazi,Ndora-mutara,600,,,,12/31/25,006f100000dhpEmAAI,1012550,18
Rwanda - Karuruma - 1014292,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Identified,,Kamonyi,Karuruma,-2.10672,29.86075,Southern Province,Nyarubaka,Kigusa/kintama,8600,Suspended Bridge,60,11/10/23,12/30/23,006f100000eekhAAAQ,1014292,8
Rwanda - Rugarama1 - 1014293,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Identified,,Kamonyi,Rugarama1,-2.109614,29.84785,Southern Province,Nyarubaka,Kigusa/rugarama,3107,Suspended Bridge,60,8/1/23,10/20/23,006f100000eekhFAAQ,1014293,4
Rwanda - Kadasaya - 1014312,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Identified,Requested,Kamonyi,Kadasaya,-2.041621,29.930816,Southern Province,Rugalika,Bihembe,,,,,12/31/24,006f100000eeqs4AAA,1014312,10
Rwanda - Kagarama - 1013226,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Identified,Requested,Nyamagabe,Kagarama,-2.52151722,29.5878311,Southern Province,Kamegeri,Kizi-Gasumba,3709,Suspended Bridge,,3/28/23,6/2/23,006f100000d75zZAAQ,1013226,15
Rwanda - Gaseke - 1013747,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Identified,,Rulindo,Gaseke,-1.66082,30.05076,Northern Province,Kisaro,Gitatsa-Kigarama,4830,,,,12/31/18,006f100000d7kjZAAQ,1013747,3
Rwanda - Munanira - 1007556,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Prospecting,,Nyaruguru,Munanira,-2.735612,29.566853,Southern Province,Munini,,1137,Suspended Bridge,115,1/21/23,4/18/23,006f100000a86GWAAY,1007556,16
Rwanda - Bizenga - 1014138,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Prospecting,,Nyamasheke,Bizenga,-2.33616,29.1422,Western Province,Kanjongo,Kibogora-kigarama,6067,Truss Bridge,24,,12/31/24,006f100000d1hIkAAI,1014138,8
