"Individuals Directly Served","Opportunity Name","Bridge Name","Project Code","Span (m)","Power of One","Bridge Type","GPS (Latitude)","GPS (Longitude)","Level 1 Government","B2P Fiscal Year"
"3000","Rwanda - Sha - RW101","Sha","RW101","55.0","1","Suspended Bridge","-1.8138330000","30.0987790000","Kigali","2014"
"7000","Rwanda - Gasura - RW104","Gasura","RW104","44.0","1","Suspension Bridge","-1.8208330000","30.1138890000","Kigali","2015"
"10000","Rwanda - Nyirakibehe - RW124","Nyirakibehe","RW124","60.0","1","Suspension Bridge","-1.8481670000","30.0970000000","Kigali","2017"
"","Rwanda - IPRC Demonstration Bridge - 1007322","IPRC Demonstration Bridge","1007322","14.0","1","Suspended Bridge","-1.9802500000","30.1089170000","Kigali","2018"
"2704","Rwanda - Gatare - 1007530","Gatare","1007530","37.0","1","Suspended Bridge","-1.9414200000","30.0346080000","Kigali","2019"
"4378","Rwanda - Nyarusange - 1014269","Nyarusange","1014269","132.0","1","Suspended Bridge","-1.8945830000","29.9966020000","Kigali","2021"
"2972","Rwanda - Nyakabungo - 1038493","Nyakabungo","1038493","","1","Suspended Bridge","-1.8886648400","30.0329713100","Kigali","2022"
"3713","Rwanda - Gikombe - 1014552","Gikombe","1014552","42.0","1","Suspended Bridge","-2.0035410000","30.0553540000","Kigali","2022"
"3937","Rwanda - Rubete - 1037177","Rubete","1037177","36.0","1","Suspended Bridge","-2.0027500000","30.0488610000","Kigali","2022"
"2062","Rwanda - Marenge - 1037311","Marenge","1037311","75.0","1","Suspended Bridge","-1.8318177600","30.0786304200","Kigali","2022"
"3000","Rwanda - Bakokwe - 1002620","Bakokwe","1002620","68.0","1","Suspended Bridge","-1.9027200000","29.7913200000","Southern Province","2013"
"1510","Rwanda - Coko - RW112","Coko","RW112","38.0","1","Suspended Bridge","-2.7474170000","29.5753890000","Southern Province","2016"
"8000","Rwanda - Kanyarira - RW111","Kanyarira","RW111","45.0","1","Suspended Bridge","-2.1137500000","29.7057780000","Southern Province","2016"
"4000","Rwanda - Cyumba - RW109","Cyumba","RW109","48.0","1","Suspended Bridge","-2.7931670000","29.6994440000","Southern Province","2016"
"12000","Rwanda - Mubuga - RW108","Mubuga","RW108","70.0","1","Suspended Bridge","-2.1438890000","29.7833330000","Southern Province","2016"
"8000","Rwanda - Butare - RW110","Butare","RW110","97.0","1","Suspended Bridge","-1.9421670000","29.7736670000","Southern Province","2016"
"6500","Rwanda - Kigohe - RW116","Kigohe","RW116","29.4","1","Suspension Bridge","-2.3119720000","29.6309440000","Southern Province","2016"
"8520","Rwanda - Budende - RW120","Budende","RW120","58.0","1","Suspension Bridge","-1.8758300000","29.8068100000","Southern Province","2017"
"8500","Rwanda - Kumusenyi - RW119","Kumusenyi","RW119","62.0","1","Suspended Bridge","-1.8273890000","29.6712500000","Southern Province","2017"
"10000","Rwanda - Rutaka - RW118","Rutaka","RW118","40.0","1","Suspended Bridge","-2.0413330000","29.6988600000","Southern Province","2017"
"2000","Rwanda - Uwimpfizi - RW123","Uwimpfizi","RW123","64.0","1","Suspended Bridge","-2.6210000000","29.4405000000","Southern Province","2017"
"4000","Rwanda - Rugusa - RW122","Rugusa","RW122","60.0","1","Suspended Bridge","-2.5933890000","29.4746110000","Southern Province","2017"
"2500","Rwanda - Rwimvubu - RW121","Rwimvubu","RW121","60.0","1","Suspended Bridge","-2.7556670000","29.5364440000","Southern Province","2017"
"3000","Rwanda - Kucyaruseke - RW127","Kucyaruseke","RW127","79.0","1","Suspended Bridge","-2.7117640000","29.5572670000","Southern Province","2018"
"3500","Rwanda - Tugogo - 1007901","Tugogo","1007901","56.0","1","Suspended Bridge","-2.5541670000","29.5072780000","Southern Province","2018"
"","Rwanda - Ruharazi - 1009311","Ruharazi","1009311","45.0","1","Suspended Bridge","-2.7767616700","29.6262716700","Southern Province","2019"
"12500","Rwanda - Karambi - 1007374","Karambi","1007374","50.0","1","Suspension Bridge","-2.5133330000","29.6127780000","Southern Province","2019"
"2015","Rwanda - Rugwa - 1007525","Rugwa","1007525","48.0","1","Suspended Bridge","-2.3297790000","29.6686880000","Southern Province","2019"
"11283","Rwanda - Rukarakara - 1007535","Rukarakara","1007535","58.0","1","Suspended Bridge","-2.7761000000","29.4645280000","Southern Province","2019"
"6335","Rwanda - Kabere - 1007539","Kabere","1007539","63.0","1","Suspended Bridge","-2.6979440000","29.4469170000","Southern Province","2019"
"7000","Rwanda - Uwarukara - 1007506","Uwarukara","1007506","70.0","1","Suspension Bridge","-2.3087220000","29.6047780000","Southern Province","2019"
"2685","Rwanda - Gasyogogo - 1007609","Gasyogogo","1007609","31.0","1","Suspended Bridge","-2.1619440000","29.6655560000","Southern Province","2019"
"7000","Rwanda - Gahororo - 1012501","Gahororo","1012501","72.3","1","Suspended Bridge","-2.6214820000","29.6490330000","Southern Province","2019"
"4111","Rwanda - Serugeme - 1012480","Serugeme","1012480","87.0","1","Suspended Bridge","-2.2280555556","29.5733333333","Southern Province","2019"
"4363","Rwanda - Rugeti - 1007466","Rugeti","1007466","68.0","1","Suspension Bridge","-2.4764066700","29.4208000000","Southern Province","2020"
"5421","Rwanda - Runyani - 1007544","Runyani","1007544","85.0","1","Suspension Bridge","-2.7157800000","29.6760700000","Southern Province","2020"
"4515","Rwanda - Agatare - 1007563","Agatare","1007563","96.0","1","Suspension Bridge","-2.6980800000","29.5455700000","Southern Province","2020"
"2725","Rwanda - Nyakabuye - Mwogo - 1007507","Nyakabuye - Mwogo","1007507","118.0","1","Suspension Bridge","-2.2332780000","29.5764070000","Southern Province","2020"
"17400","Rwanda - Gisoro - 1007572","Gisoro","1007572","82.0","1","Suspended Bridge","-2.7891000000","29.5672100000","Southern Province","2020"
"4295","Rwanda - Ryakanyamiganda - 1007580","Ryakanyamiganda","1007580","35.0","1","Suspension Bridge","-2.7941500000","29.6986000000","Southern Province","2020"
"2183","Rwanda - Ruganza - 1007590","Ruganza","1007590","44.0","1","Suspended Bridge","-2.6352216700","29.4574016700","Southern Province","2020"
"5167","Rwanda - Kiciro - 1013351","Kiciro","1013351","33.0","1","Suspension Bridge","-2.0554593400","29.6441198600","Southern Province","2020"
