Opportunity Name,Stage,Fiscal Year,Randomized Order,Research Initiative,Bridge Name,latitude,longitude,Level 1 Government,Level 2 Government,Level 3 Government,Level 4 Government,Sub-Stage,Individuals Directly Served,Bridge Type,Span (m),Ground Breaking Date,Close Date,CaseSafeID,Project Code
Rwanda - Bahimba - 1013626,Under Construction,2023,9,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Bahimba,-1.7628,29.30777,Western Province,Rutsiro,Kivumu,Kabere/burambo,,,Suspended Bridge,64,10/24/22,2/9/23,006f100000d7iQBAAY,1013626
Rwanda - Banga - 1012550,Identified,2025,18,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Banga,-1.6897222,29.80888,Northern Province,Gakenke,Gakenke-Minazi,Ndora-mutara,Requested,600,,,,12/31/24,006f100000dhpEmAAI,1012550
Rwanda - Bibumba - 1013275,Confirmed,2023,5,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Bibumba,-2.2794,29.8712,Southern Province,Nyanza,Kigoma - Ntongwe,Murinja - Kareba,,3152,Suspension Bridge,140,10/11/22,2/17/23,006f100000d7678AAA,1013275
Rwanda - Biseke - 1013374,Rejected,2023,8,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Biseke,-1.66137,29.50069,Western Province,Nyabihu,Karago,Gihirwa,,8766,,,,10/17/22,006f100000d7GroAAE,1013374
Rwanda - Bisheke - 1007508,Rejected,2019,13,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Bisheke,-2.280762,29.206295,Western Province,Nyamasheke,Macuba - Kirinda,Mutongo~ Muhororo,Technical,2338,,,,12/31/18,006f100000a86FkAAI,1007508
Rwanda - Bishenge (Masuma) - 1012983,Confirmed,2023,18,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Bishenge (Masuma),-2.345908,29.409702,Southern Province,Nyamagabe,Nkomane,Mutengeli,,2818,Hybrid Suspension Bridge,68,1/5/23,3/27/23,006f100000d6wIKAAY,1012983
Rwanda - Bizenga - 1014138,Prospecting,2025,8,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Bizenga,-2.33616,29.1422,Western Province,Nyamasheke,Kanjongo,Kibogora-kigarama,,6067,Truss Bridge,24,,12/31/24,006f100000d1hIkAAI,1014138
Rwanda - Bukomeye - Taba - 1007380,Complete,2023,2,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Bukomeye - Taba,-2.66052,29.74644,Southern Province,Huye,Mukura,Rango A,In Service,3581,Suspension Bridge,116,7/18/22,10/17/22,006f100000a86DgAAI,1007380
Rwanda - Bukoro - 1014129,Prospecting,2024,10,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Bukoro,-2.61265,29.50877,Southern Province,Nyaruguru,Ruramba_Kivu,Gabiro_Kivu,,4359,Suspended Bridge,75,12/1/23,3/8/24,006f100000d1hGAAAY,1014129
Rwanda - Bukungu - 1013639,Under Construction,2023,8,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Bukungu,-1.80495,29.30452,Western Province,Rutsiro,Kigeyo,Buhindure,,6052,Suspended Bridge,48,10/17/22,1/23/23,006f100000d7iU8AAI,1013639
Rwanda - Bunyonga 1 - 1014322,Complete,2023,2,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Bunyonga 1,-1.934919,29.819397,Southern Province,Kamonyi,Karama,Bunyonga,In Service,2423,Suspended Bridge,54,5/16/22,9/23/22,006f100000eesd5AAA,1014322
Rwanda - Buranga - 1007356,Rejected,2019,8,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Buranga,-1.639722,29.784722,Northern Province,Gakenke,Nemba,,Technical,2958,,,,12/31/18,006f100000a86DIAAY,1007356
Rwanda - Cyabami (Kwa Anamariya) - 1013233,Complete,2023,1,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Cyabami (Kwa Anamariya),-1.60834,29.8911,Northern Province,Burera,Nemba,Kadehero,In Service,2554,Suspended Bridge,56,5/24/22,9/9/22,006f100000d7608AAA,1013233
Rwanda - Cyahafi - 1013456,Rejected,2019,5,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Cyahafi,-1.92556,29.60749,Western Province,Ngororero,Bwira sector,Cyahafi village ( Cyahafi cell ) - Kabirizi village ( ruhindage cell ),Technical,3620,,,,12/31/18,006f100000d7Pr6AAE,1013456
Rwanda - Cyarera - 1007528,Complete,2023,1,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Cyarera,-2.29248,29.61608,Southern Province,Nyanza,Cyabakamyi-Musange,Karama - Gasagara,In Service,1967,Suspension Bridge,150,7/11/22,10/14/22,006f100000a86G4AAI,1007528
Rwanda - Gacumbi - 1013567,Rejected,2020,1,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Gacumbi,-2.26295,29.189909,Western Province,Nyamasheke,Kirimbi,Muhororo,Technical,1888,Suspension Bridge,46,,7/2/20,006f100000d7b6QAAQ,1013567
Rwanda - Gakoyi - 1013654,Identified,2025,4,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Gakoyi,-1.85437,29.28597,Western Province,Rutsiro,Bushonyi,Kaguriro,Requested,660,,,,12/31/24,006f100000d7iXbAAI,1013654
Rwanda - Gasasa - 1013460,Complete,2021,4,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Gasasa,-1.95373,29.54198,Western Province,Ngororero,Bwira - Sovu,Gasasa village ( GASHUBI cell ) - Ruganda village ( Kanyana  cell ),In Service,4053,Suspended Bridge,45,2/22/21,5/19/21,006f100000d7PrQAAU,1013460
Rwanda - Gaseke - 1013747,Identified,2019,3,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Gaseke,-1.66082,30.05076,Northern Province,Rulindo,Kisaro,Gitatsa-Kigarama,,4830,,,,12/31/18,006f100000d7kjZAAQ,1013747
Rwanda - Gasharu - 1012831,Confirmed,2023,6,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Gasharu,-2.31422,29.69336,Southern Province,Nyanza,Rwabicuma - Cyabakamyi,Cyerezo - Nyabinyenga,,3531,Suspended Bridge,45,3/20/23,6/24/23,006f100000d6mYGAAY,1012831
Rwanda - Gasharu - 1014069,Complete,2021,2,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Gasharu,-2.13333,29.3625,Western Province,Karongi,Rwankuba sector,Gasharu village- Wingwa village & Kigogwe village ( all villages are  in Nyarusanga cell ),In Service,3021,Suspended Bridge,48,7/2/20,6/8/21,006f100000d1fTFAAY,1014069
Rwanda - Gashasho - 1007600,Complete,2023,6,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Gashasho,-1.71333,29.3925,Western Province,Rubavu,Kanama,Karambo/ndongoshoru,In Service,1013,Suspended Bridge,62,8/15/22,11/4/22,006f100000a86HEAAY,1007600
Rwanda - Gasihe - 1013894,Complete,2022,5,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Gasihe,-2.360876,29.157374,Western Province,Nyamasheke,Kanjongo,Raro,In Service,2762,Suspended Bridge,92,11/15/21,2/23/22,006f100000d88IbAAI,1013894
Rwanda - Gasugi - 1007570,Prospecting,2024,17,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Gasugi,-2.69743,29.43339,Southern Province,Nyaruguru,Nyabimata,Ruhinga,,5413,,,1/27/24,5/1/24,006f100000a86GkAAI,1007570
Rwanda - Gihemvu - 1014150,Prospecting,2024,6,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Gihemvu,-2.70081,29.492137,Southern Province,Nyaruguru,Nyabimata_Muganza,Gihemvu-Muganza,,3969,Suspended Bridge,94,1/9/24,3/31/24,006f100000d1hNQAAY,1014150
Rwanda - Gihinga - 1007637,Prospecting,2023,13,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Gihinga,-1.75328,30.01969,Northern Province,Rulindo,Cyinzuzi,KIDOGO,,,Suspended Bridge,110,1/30/23,4/19/23,006f100000a86HpAAI,1007637
Rwanda - Gihororo - 1010427,Prospecting,2023,1,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Gihororo,-2.12117,29.6109,Southern Province,Ruhango,kinihira,Bweramvura,,1408,Suspension Bridge,120,4/24/23,6/30/23,006f100000bh0JKAAY,1010427
Rwanda - Gisiza - 1013898,Under Construction,2023,14,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Gisiza,-2.353335,29.147336,Western Province,Nyamasheke,Kanjongo,Raro~ Gako,,3100,Suspended Bridge,88,10/17/23,1/27/23,006f100000d88KhAAI,1013898
Rwanda - Gisizi - 1014318,Prospecting,2023,9,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Gisizi,-1.870868,29.877686,Southern Province,Kamonyi,Kayenzi,"Kirwa, Marembo",,6357,Suspended Bridge,37,4/17/23,6/30/23,006f100000eescbAAA,1014318
